Date,open,close,high,low,volume,money
2019/8/6,4665.84,4650.56,4684.52,4558.06,9866786600,84239326256
2019/8/7,4678.43,4626.36,4686.73,4624.74,6741740600,62344725908
2019/8/8,4641.87,4656.1,4663.03,4636.24,6007779600,56743200907
2019/8/9,4677.25,4600.35,4690.65,4593.22,6444333700,64477323102
2019/8/12,4608.12,4685.05,4685.05,4591.66,6194650700,62148044563
2019/8/13,4649.35,4658.39,4667.72,4638.03,5869131700,57730564572
2019/8/14,4713.5,4683.84,4731.86,4677.13,7114878700,69438518109
2019/8/15,4585.09,4706.55,4709.36,4576.46,7826161100,72618382799
2019/8/16,4702.14,4722.66,4755.95,4696.92,7754245800,76502437623
2019/8/19,4765.06,4875.04,4875.04,4765.06,10658092600,1.05E+11
2019/8/20,4878.67,4872.61,4912.99,4864.82,10020229300,94825269893
2019/8/21,4865.72,4882.72,4896.29,4859.33,8494079000,83121773981
2019/8/22,4894.36,4887.91,4896.58,4851.97,8223811000,82031364628
2019/8/23,4888.53,4887.9,4902.78,4861.2,8250252800,81178885785
2019/8/26,4799.48,4855.46,4867.3,4793.84,8845314400,86780252777
2019/8/27,4878.29,4936.12,4976.58,4878.29,10819263700,1.05E+11
2019/8/28,4929.89,4928.19,4948.02,4910.6,9899429300,92168539739
2019/8/29,4937.59,4934.18,4954.96,4912.22,9681799600,94062432252
2019/8/30,4963.28,4886.49,4975.97,4862.58,10245163400,1.08E+11
2019/9/2,4894.05,5008.3,5020.26,4890.23,10829293000,1.09E+11
2019/9/3,5019.4,5044.18,5044.18,4999.89,10909044900,1.15E+11
2019/9/4,5036.52,5093.27,5093.27,5027.67,12249922400,1.23E+11
2019/9/5,5119.57,5138.41,5209,5119.43,15894736900,1.61E+11
2019/9/6,5152.19,5154.64,5167.48,5111.73,11279857600,1.23E+11
2019/9/9,5202.71,5263.46,5263.46,5171.85,13294192700,1.40E+11
2019/9/10,5264.33,5245.31,5264.33,5212.53,13111154700,1.38E+11
2019/9/11,5262.49,5217.29,5273.97,5206.97,11560394100,1.19E+11
2019/9/12,5230.29,5242.61,5255.79,5197.57,9604422600,99874269568
2019/9/16,5263.3,5250.34,5279.59,5228.29,11413633900,1.17E+11
2019/9/17,5237.56,5140.45,5237.56,5118.21,11477143500,1.14E+11
2019/9/18,5148.06,5141.04,5163.81,5119.61,8955599900,92044125713
2019/9/19,5150.5,5191.67,5191.67,5126.15,8812931100,92724183286
2019/9/20,5198.73,5204.48,5220.24,5180.08,9418643800,1.04E+11
2019/9/23,5192.88,5171.48,5192.88,5124.8,9465768000,1.04E+11
2019/9/24,5168.12,5180.74,5237.41,5159.33,9452799600,1.09E+11
2019/9/25,5162.15,5087.01,5162.15,5087.01,9220292000,1.04E+11
2019/9/26,5099.52,4970.24,5108.8,4970.24,9467075200,1.01E+11
2019/9/27,4974.03,5005.63,5033.19,4974.03,7432983300,77773539941
2019/9/30,5009.14,4940.9,5022.43,4940.9,6578513000,66977336937
2019/10/8,4955.08,4941.76,4994.44,4937.03,6644342500,69528043025
2019/10/9,4926.21,4982.95,4985.44,4904.32,6650575900,67224088878
2019/10/10,4988.14,5046.36,5049.22,4979.19,7381815400,75962306589
2019/10/11,5057.81,5055.52,5074.9,5012.38,8278601600,82692670948
2019/10/14,5095.22,5131.13,5151.69,5089.31,10368887800,1.01E+11
2019/10/15,5115.25,5061,5115.25,5057.28,8832143000,86494758014
2019/10/16,5064.33,5038.36,5086.97,5036.5,7822140800,73744399915
2019/10/17,5039.27,5029.85,5049.36,5017.47,7051450800,65942908152
